id,date,sender_id,sender_name,text,has_media
11843,2024-06-23T20:16:03+00:00,1587091956,Brand M,,False
11844,2024-06-23T20:17:54+00:00,6249030349,Gabriel,,False
11845,2024-06-23T20:20:26+00:00,1511515836,Antonio Jimenez,,False
11846,2024-06-23T20:20:33+00:00,1356635396,M,,False
11847,2024-06-23T20:23:40+00:00,6600586800,Dbay,,False
11848,2024-06-23T20:24:56+00:00,1920708117,.,,False
11849,2024-06-23T20:25:20+00:00,1264334486,Fa,"Si por favor, envien los horarios",False
11850,2024-06-23T20:26:56+00:00,1353791237,joaquin. paco.alanoca,,False
11851,2024-06-23T20:28:10+00:00,6908225609,,,False
11852,2024-06-23T20:33:53+00:00,6182358434,Maximiliano,,False
11853,2024-06-23T20:34:08+00:00,5001676231,isaac illatarco,,False
11854,2024-06-23T20:37:36+00:00,1807143104,SQUARECAT OWNER,,False
11855,2024-06-23T20:41:02+00:00,1316127545,RASEC ☠☠,Horarios,False
11856,2024-06-23T20:41:09+00:00,1317174082,Di,,False
11857,2024-06-23T20:41:48+00:00,1183152843,Alba,,False
11858,2024-06-23T20:43:18+00:00,2061713310,Evelyn Aliaga,,False
11859,2024-06-23T20:45:35+00:00,2046008993,anon 87,,False
11860,2024-06-23T20:48:00+00:00,1807143104,SQUARECAT OWNER,Ya se puede inscribir?,False
11861,2024-06-23T20:48:28+00:00,112376399,John Castillo,Si,False
11862,2024-06-23T20:48:30+00:00,5666807612,,X2,False
11863,2024-06-23T20:49:30+00:00,1087687145,Jesus,,False
11864,2024-06-23T20:50:18+00:00,7066483204,Mat c.,,False
11865,2024-06-23T20:52:00+00:00,6357966810,Yeral Ariel G.Q.,Y los horarios,False
11866,2024-06-23T20:52:22+00:00,851995569,Cf Ca,Los horarios??,False
11867,2024-06-23T20:52:53+00:00,5103590720,Matheus Monrroy,Si los horarios porfa,False
11868,2024-06-23T20:55:13+00:00,6511874458,D,,False
11869,2024-06-23T20:55:29+00:00,1790308966,DYL,,False
11870,2024-06-23T20:56:26+00:00,2103815090,Jonh,,False
11871,2024-06-23T21:04:04+00:00,1336403663,Alejandro Pérez Murillo,X3,False
11873,2024-06-23T21:07:07+00:00,536921936,Ariel,,False
11874,2024-06-23T21:11:38+00:00,5551232446,E v,,False
11875,2024-06-23T21:13:15+00:00,5946446440,.,,False
11876,2024-06-23T21:13:43+00:00,1366009675,Al,x4,False
11877,2024-06-23T21:15:42+00:00,1169106483,Ale,,False
11878,2024-06-23T21:16:12+00:00,1688881544,Adrian Pablo Calizaya Aguilar,,False
11879,2024-06-23T21:17:11+00:00,1402148324,Ercam,,False
11881,2024-06-23T21:19:10+00:00,1547550078,CINTHYA FLORES,,False
11882,2024-06-23T21:21:16+00:00,1021142090,:v,X6,False
11883,2024-06-23T21:21:20+00:00,1586956164,Raquel V,,False
11884,2024-06-23T21:21:29+00:00,1276350466,Cesar Flores,,False
11885,2024-06-23T21:25:43+00:00,1210293882,Rodrigo,,False
11886,2024-06-23T21:29:05+00:00,5955344372,Danilo Dyl,,False
11887,2024-06-23T21:34:05+00:00,1246176828,Fabian,https://chat.whatsapp.com/KKhpHa6xmhc5Nw1RGVHNVn,True
11888,2024-06-23T21:34:27+00:00,5164546333,Adhemar Saul Gutierrez,"Una pregunta,hasta cuándo se puede pagar el código CPT??",False
11889,2024-06-23T21:35:13+00:00,7306369157,Arom Doria Medina S.,,False
11890,2024-06-23T21:36:52+00:00,6902404214,Agustín Zepita Quispe,,False
11891,2024-06-23T21:37:07+00:00,1236034642,.... Añahuaya,,False
11892,2024-06-23T21:38:43+00:00,6106950325,Jazmin Rojas,,False
11893,2024-06-23T21:39:41+00:00,1894785923,Emanuel,,False
11894,2024-06-23T21:39:47+00:00,1353142209,Maritza Quispe,,False
11895,2024-06-23T21:40:35+00:00,1887325387,Cesar Cruz Callata,,False
11896,2024-06-23T21:41:02+00:00,1157475679,karen melodia vida Pizarro,,False
11897,2024-06-23T21:41:28+00:00,1100533498,Cristian Huarca Mollo,,False
11898,2024-06-23T21:41:49+00:00,7148306852,. .,,False
11899,2024-06-23T21:45:02+00:00,5998209373,René Gonzalo Huanca Mamani,,False
11900,2024-06-23T21:47:14+00:00,1054081805,Cm,Alguien sabe cuándo saldrá los horarios de las materias ?,False
11901,2024-06-23T21:48:20+00:00,1203030711,Car23,,False
11902,2024-06-23T21:48:25+00:00,2016959532,Jandira,,False
11903,2024-06-23T21:52:24+00:00,1510814938,. .,,False
11904,2024-06-23T21:54:13+00:00,5470227907,Daner Mamani Alanoca,,False
11905,2024-06-23T22:17:02+00:00,5013280681,InSomnia,"Buenas tardes, algún grupo para calculo 1 y álgebra 1",False
11906,2024-06-23T22:28:01+00:00,7079879945,Ene M.Car,,False
11907,2024-06-23T22:29:23+00:00,1422772767,Brisdenka <3,,False
11908,2024-06-23T22:30:59+00:00,1252305615,Neythan M. Rodríguez,,False
11909,2024-06-23T22:32:32+00:00,1355918132,For@Esta,,False
11911,2024-06-23T22:35:42+00:00,1107748630,Aba,ya salieron los horarios o nel? :v,False
11912,2024-06-23T22:37:16+00:00,6661241460,. _,,False
11913,2024-06-23T22:38:12+00:00,937272097,Angela,"Podrían mandar los horarios por favor, se supone que mañana inicia pero no hay nada de información de los horarios.",False
11915,2024-06-23T22:40:22+00:00,1230094009,Valente,Acaso ya había cpt? :o,False
11916,2024-06-23T22:45:10+00:00,1186518258,Ritchie Yerko Cano Poma,"Esperemos que saquen pronto los horarios y las Aulas, por que algunos docentes saben avanzar desde el 1er día",False
11917,2024-06-23T22:46:09+00:00,1246278558,.,pero cómo van a avanzar si ni siquiera hay aulas ni horarios :v  xd,False
11918,2024-06-23T22:46:23+00:00,1599065263,Dennys Felipe Chavez Zalles,,False
11919,2024-06-23T22:50:13+00:00,1246278558,.,"además como dijo el compañero, solo hay que ver la pagina en facebook y ahí lo van a publicar y de igual forma mandarán por este grupo :)",False
11920,2024-06-23T22:50:28+00:00,1606814175,Ichuta,,False
11921,2024-06-23T22:53:37+00:00,1230094009,Valente,Una lágrima estan haciendo temporada la verdad,False
11922,2024-06-23T22:53:55+00:00,1230094009,Valente,Organización se rascan,False
11923,2024-06-23T22:54:08+00:00,1457481766,Cristhian,xd,False
11925,2024-06-23T22:58:59+00:00,1992184673,....,Xd,False
11926,2024-06-23T22:59:20+00:00,5574888222,,,False
11927,2024-06-23T23:03:31+00:00,7142434877,໓คʝนຮ,,False
11928,2024-06-23T23:09:47+00:00,5444957252,R,Saben a qué se refiere la nota importante?,False
11929,2024-06-23T23:11:03+00:00,1020664154,Luna,,False
11930,2024-06-23T23:14:17+00:00,1505957489,Micaela Flores,,False
11931,2024-06-23T23:15:16+00:00,1654037431,D Brian,,False
11932,2024-06-23T23:17:42+00:00,5583619402,Tzortheos2929v Papu,Quiere decir si no estás matrículado e igual  quieres insctibirte,False
11933,2024-06-23T23:20:44+00:00,1821163775,Rousse,,False
11934,2024-06-23T23:21:44+00:00,5444957252,R,"Ok, gracias.",False
11935,2024-06-23T23:23:38+00:00,1316127545,RASEC ☠☠,23-06-2024 horas 19:23 no hay horario,False
11936,2024-06-23T23:25:54+00:00,758219464,Carmen Arce,,False
11937,2024-06-23T23:27:06+00:00,5583619402,Tzortheos2929v Papu,Dónde estas están los benditos horarios,False
11938,2024-06-23T23:27:08+00:00,5583619402,Tzortheos2929v Papu,Haaa,False
11939,2024-06-23T23:27:10+00:00,5583619402,Tzortheos2929v Papu,Dondeee,False
11940,2024-06-23T23:27:19+00:00,5583619402,Tzortheos2929v Papu,Horariooos!!!!!?,False
11941,2024-06-23T23:28:35+00:00,1252861609,CG🦖,,False
11942,2024-06-23T23:29:34+00:00,1498487049,Fabry Kaew,,False
11943,2024-06-23T23:31:04+00:00,1175028035,Alba,,False
11945,2024-06-23T23:32:41+00:00,1927552437,Nervi,hay horarios?,False
11946,2024-06-23T23:32:56+00:00,1927552437,Nervi,por que si no sabré si inscribirme a 1 o 2,False
11947,2024-06-23T23:33:02+00:00,1927552437,Nervi,🥲,False
11948,2024-06-23T23:33:33+00:00,2118178617,Jazmín Mejía,,False
11949,2024-06-23T23:36:14+00:00,1978797348,Alejandro Dylan Villca Machicado,,False
11950,2024-06-23T23:37:40+00:00,1394710707,Mauricio,,False
11951,2024-06-23T23:38:36+00:00,1899604810,Hajime :......,,False
11952,2024-06-23T23:38:55+00:00,1679705596,Jessica Esmeralda Poma Quispe .,,False
11953,2024-06-23T23:41:15+00:00,1521387304,eider,Ph.D. Jose Maria,False
11954,2024-06-23T23:47:03+00:00,6166189908,Mau,,False
11955,2024-06-23T23:48:20+00:00,7142434877,໓คʝนຮ,Nunca llegan los horarios :l,False
11956,2024-06-23T23:48:24+00:00,7142434877,໓คʝนຮ,A veces es puuura suerte,False
11957,2024-06-23T23:48:38+00:00,7142434877,໓คʝนຮ,,True
11958,2024-06-23T23:48:46+00:00,1608405216,Ehufrat,,False
11959,2024-06-23T23:48:47+00:00,1346502791,🌸Bel🌸,Espero que lo extiendan porque no queremos tener choque,False
11960,2024-06-23T23:50:39+00:00,1018626874,Marco,"Ph.D. Jose Maria 
Marisol",False
11961,2024-06-23T23:53:24+00:00,1393052190,-,,False
11962,2024-06-23T23:53:42+00:00,5549078430,Alejandro Rojas,Por qué se desesperan tanto seguro saldrán los horarios más tarde o mañana temprano,False
11963,2024-06-23T23:54:20+00:00,6019442946,412576 Karin,Porque mañana empieza wey :v,False
11964,2024-06-23T23:54:56+00:00,3497381,Luis Mita,Creo es por que las clases comienzan mañana según calendario xD,False
11965,2024-06-23T23:56:03+00:00,3497381,Luis Mita,Por si acaso sin horarios no hay clases (a veces ni el mismo docente se entera cuando le asignan tal horario y tal aula),False
11966,2024-06-23T23:56:30+00:00,1204018268,Franco Antonio Frias,Cada temporada es lo mismo no se desesperen,False
11967,2024-06-23T23:56:50+00:00,3497381,Luis Mita,"Si
Es normal que vayan empezando clases martes, etc dependiendo de la materia",False
11968,2024-06-23T23:58:03+00:00,1204018268,Franco Antonio Frias,"Lo más seguro es que Mañana saldrá horarios, y aumenten día o tres días más el pago",False
11969,2024-06-23T23:58:26+00:00,1204018268,Franco Antonio Frias,Lo mismo paso a inicios de año,False
11970,2024-06-23T23:58:55+00:00,1372662880,NELSON LOPEZ,,False
11971,2024-06-23T23:59:19+00:00,6127050171,.,,False
11972,2024-06-23T23:59:32+00:00,1127123987,Boris Cusicanqui,,False
11973,2024-06-23T23:59:57+00:00,1430842898,RUDY LUIS,,False
11974,2024-06-24T00:01:07+00:00,851637751,Jota QC,,False
11975,2024-06-24T00:03:09+00:00,5583619402,Tzortheos2929v Papu,De maravilla entonces 😊,False
11976,2024-06-24T00:03:09+00:00,6571885164,,,False
11977,2024-06-24T00:03:37+00:00,6571885164,,Ya mnndaron los horarios de los cursos de invierno?,False
11978,2024-06-24T00:03:46+00:00,1459560429,Paola Evelin Ticona Quispe,,False
11979,2024-06-24T00:05:06+00:00,6019442946,412576 Karin,No,False
11980,2024-06-24T00:06:19+00:00,6571885164,,"Mañana ya empiezan las clases, no!?",False
11981,2024-06-24T00:07:06+00:00,1018022195,,"😂🤣😂🤣 Ni siquiera se han inscrito, depositado o si?",False
11982,2024-06-24T00:07:34+00:00,1196314608,Michel Alvarez,,False
11983,2024-06-24T00:07:57+00:00,6571885164,,Jeje solo preguntaba,False
11984,2024-06-24T00:08:01+00:00,6571885164,,Jeje sorry,False
11985,2024-06-24T00:08:23+00:00,1346502791,🌸Bel🌸,Nunca empezá en la fecha que ponen siempre se sabe tardar una semana,False
11986,2024-06-24T00:10:33+00:00,3497381,Luis Mita,"Si, con calma nomas",False
11987,2024-06-24T00:10:50+00:00,3497381,Luis Mita,Los encargados deben estar celebrando san juan (?,False
11988,2024-06-24T00:12:29+00:00,1984376828,.,,False
11989,2024-06-24T00:13:26+00:00,799101667,Daniel Chalco,,False
11990,2024-06-24T00:13:33+00:00,398147648,Anddy,,False
11992,2024-06-24T00:18:53+00:00,1246278558,.,pero como vamos a saber dónde es si no hay aulas ☠🤡,False
